code;parameter;description;condition_tech;condition_reg; value ; confidence_l ; confidence_h ;unit;source;source_details;note
ef_1_fr;ef_1;Emission factor for nitrogen inputs to soil;flooded rice;;0,003; -     ;0,006;kg N2O-N (Kg N)-1;IPCC-2006;Table 11.1;
ef_1;ef_1;Emission factor for nitrogen inputs to soil;other;;0,01;0,003;0,03;kg N2O-N (Kg N)-1;IPCC-2006;Table11.1;
ef_prp_cpp;ef_prp;Emission factor for urine and dung deposited on pasture;cattle;;0,02;0,007;0,06;kg N2O-N (Kg N)-1;IPCC-2006;Table11.1;
ef_prp_cpp;ef_prp;Emission factor for urine and dung deposited on pasture;poultry;;0,02;0,007;0,06;kg N2O-N (Kg N)-1;IPCC-2006;Table11.1;
ef_prp_cpp;ef_prp;Emission factor for urine and dung deposited on pasture;pigs;;0,02;0,007;0,06;kg N2O-N (Kg N)-1;IPCC-2006;Table11.1;
ef_prp_so;ef_prp;Emission factor for urine and dung deposited on pasture;other;;0,02;0,003;0,03;kg N2O-N (Kg N)-1;IPCC-2006;Table11.1;
ef_5;ef_5;Emission factor for leached nitrogen;;;0,0075;0,0005;0,025;kg N2O-N (Kg N)-1;IPCC-2006;Table11.3;
frac_gasf;frac_gasf;Fraction of volatalised nitrogen for synthetic inputs;;;0,1;0,03;0,3;;IPCC-2006;Table11.3;
frac_gasm;frac_gasm;Fraction of volatalised nitrogen for organic inputs;;;0,2;0,05;0,5;;IPCC-2006;Table11.3;
frac_leach;frac_leach;Fraction of nitrogen inputs leached as nitrate;;;0,3;0,1;0,8;;IPCC-2006;Table11.3;
frac_renew_ac;frac_renew;Frequency of re-seeding;anual crops;;1;;;;;;
frac_renew_alf;frac_renew;Frequency of re-seeding;alfalfa;;0,25;;;;;;
frac_renew_past;frac_renew;Frequency of re-seeding;pasture;;0,25;;;;;;
frac_remove;frac_remove;Fraction of above-ground crop residues;;;0;;;;;;If data for frac_remove are not available, assume no removal (IPCC, 2006)
frac_remove_agreste;frac_remove;Fraction of above-ground crop residues;;France;0,82;;;;Agreste-2010;;
dry_grains;dry;Dry matter fraction of harvested product;grains;;0,88;;;;IPCC-2006;Table 11.2;
dry_bp;dry;Dry matter fraction of harvested product;beans and pulses;;0,91;;;;IPCC-2006;Table 11.2;
dry_tub;dry;Dry matter fraction of harvested product;tubers;;0,22;;;;IPCC-2006;Table 11.2;
dry_root;dry;Dry matter fraction of harvested product;root crops and other;;0,94;;;;IPCC-2006;Table 11.2;
dry_nnffor;dry;Dry matter fraction of harvested product;non N-fixing forages;;0,9;;;;IPCC-2006;Table 11.2;
dry_nffor;dry;Dry matter fraction of harvested product;N-fixing forages;;0,9;;;;IPCC-2006;Table 11.2;
dry_pgrass;dry;Dry matter fraction of harvested product;perenial grasses;;0,9;;;;IPCC-2006;Table 11.2;
dry_gc;dry;Dry matter fraction of harvested product;grass-clover mixtures;;0,9;;;;IPCC-2006;Table 11.2;
dry_maize;dry;Dry matter fraction of harvested product;maize;;0,87;;;;IPCC-2006;Table 11.2;
dry_wheat;dry;Dry matter fraction of harvested product;wheat;;0,89;;;;IPCC-2006;Table 11.2;
dry_wwheat;dry;Dry matter fraction of harvested product;winter wheat;;0,89;;;;IPCC-2006;Table 11.2;
dry_swheat;dry;Dry matter fraction of harvested product;spring wheat;;0,89;;;;IPCC-2006;Table 11.2;
dry_rice;dry;Dry matter fraction of harvested product;rice;;0,89;;;;IPCC-2006;Table 11.2;
dry_barley;dry;Dry matter fraction of harvested product;barley;;0,89;;;;IPCC-2006;Table 11.2;
dry_oat;dry;Dry matter fraction of harvested product;oats;;0,89;;;;IPCC-2006;Table 11.2;
dry_mil;dry;Dry matter fraction of harvested product;millet;;0,9;;;;IPCC-2006;Table 11.2;
dry_sorg;dry;Dry matter fraction of harvested product;sorghum;;0,89;;;;IPCC-2006;Table 11.2;
dry_rye;dry;Dry matter fraction of harvested product;rye;;0,88;;;;IPCC-2006;Table 11.2;
dry_soy;dry;Dry matter fraction of harvested product;soyabean;;0,91;;;;IPCC-2006;Table 11.2;
dry_dbeans;dry;Dry matter fraction of harvested product;dry beans;;0,9;;;;IPCC-2006;Table 11.2;
dry_pota;dry;Dry matter fraction of harvested product;potato;;0,22;;;;IPCC-2006;Table 11.2;
dry_peanut;dry;Dry matter fraction of harvested product;peanut (w/pod);;0,94;;;;IPCC-2006;Table 11.2;
dry_alfalfal;dry;Dry matter fraction of harvested product;alfalfa;;0,9;;;;IPCC-2006;Table 11.2;
dry_nlhay;dry;Dry matter fraction of harvested product;non-legume hay;;0,9;;;;IPCC-2006;Table 11.2;
ag_dry_slope_grains;ag_dry_slope;Slope of the above-ground residues dry matter regression;grains;;1,09;;;;IPCC-2007;Table 11.3;
ag_dry_slope_bp;ag_dry_slope;Slope of the above-ground residues dry matter regression;beans and pulses;;1,13;;;;IPCC-2008;Table 11.4;
ag_dry_slope_tub;ag_dry_slope;Slope of the above-ground residues dry matter regression;tubers;;0,1;;;;IPCC-2009;Table 11.5;
ag_dry_slope_root;ag_dry_slope;Slope of the above-ground residues dry matter regression;root crops and other;;1,07;;;;IPCC-2010;Table 11.6;
